"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"HSD11B2",-0.63,6.176,-7.213,0,0,18.154
"TSPAN2",0.634,2.867,7.193,0,0,18.016
"STX19",-0.628,3.49,-7.189,0,0,17.989
"CFD",0.827,5.056,7.179,0,0,17.918
"SNCG",0.605,2.408,7.165,0,0,17.824
"MOGAT3",-0.754,3.891,-7.165,0,0,17.824
"ISM1",0.648,1.755,7.164,0,0,17.82
"GPX2",-0.642,9.911,-7.144,0,0,17.687
"GYG2",-0.602,3.5,-7.131,0,0,17.599
"KRT23",-1.288,4.215,-7.13,0,0,17.593
"FGFR3",-0.716,4.094,-7.113,0,0,17.477
"RAB31",0.6,4.65,7.097,0,0,17.369
"GPA33",-0.889,6.241,-7.093,0,0,17.345
"GPR143",-0.741,2.467,-7.083,0,0,17.279
"TNNT1",0.81,1.453,7.078,0,0,17.243
"F13A1",0.742,2.711,7.046,0,0,17.033
"SLC3A1",-0.678,2.22,-7.018,0,0,16.842
"CCL21",1.05,4.976,7.014,0,0,16.817
"CD24",-0.679,9.509,-6.986,0,0,16.634
"ACSL6",-0.633,1.457,-6.985,0,0,16.63
"SCG2",0.591,1.775,6.974,0,0,16.552
"AREG",-0.839,6.265,-6.968,0,0,16.517
"PLA2G12B",-0.977,2.095,-6.962,0,0,16.477
"TMPRSS13",-0.653,2.001,-6.961,0,0,16.471
"COL5A1",0.638,5.916,6.928,0,0,16.252
"SFRP4",1.1,4.373,6.928,0,0,16.252
"FABP4",0.794,1.55,6.916,0,0,16.178
"UCHL1",0.675,2.44,6.905,0,0,16.105
"ENPP3",-0.774,2.049,-6.859,0,0,15.803
"SULF1",0.781,5.388,6.842,0,0,15.693
"PRRX1",0.61,2.764,6.832,0,0,15.628
"UNC5CL",-0.631,3.906,-6.825,0,0,15.582
"AQP1",0.661,5.747,6.824,0,0,15.579
"DCN",0.686,5.2,6.82,0,0,15.551
"DACH1",-0.658,3.48,-6.809,0,0,15.479
"MFAP5",0.692,2.544,6.76,0,0,15.164
"CCL28",-0.723,3.632,-6.722,0,0,14.921
"SLC26A3",-1.229,4.187,-6.712,0,0,14.863
"IHH",-0.804,5.957,-6.706,0,0,14.823
"UGT2A3",-0.969,2.4,-6.69,0,0,14.719
"MAOB",0.726,2.975,6.685,0,0,14.689
"ITGB2",0.614,4.329,6.683,0,0,14.679
"GPX3",0.593,4.64,6.68,0,0,14.656
"FOLR2",0.651,3.371,6.657,0,0,14.512
"LCN2",-1.119,9.212,-6.655,0,0,14.501
"EREG",-0.921,3.173,-6.643,0,0,14.428
"THBS2",0.866,5.328,6.633,0,0,14.364
"BTNL3",-0.764,2.87,-6.631,0,0,14.348
"COMP",0.983,3.088,6.622,0,0,14.293
"SLC51B",-0.67,2.938,-6.617,0,0,14.263
"DPT",0.768,2.939,6.603,0,0,14.173
"CD163",0.63,3.207,6.547,0,0,13.824
"PPP1R14A",0.6,3.587,6.544,0,0,13.804
"KCNH2",0.629,2.873,6.514,0,0,13.618
"PLCB4",-0.719,4.771,-6.504,0,0,13.556
"HTRA3",0.625,5.154,6.503,0,0,13.549
"COL1A1",0.758,9.236,6.498,0,0,13.52
"ADH6",-0.644,2.12,-6.493,0,0,13.49
"VIP",0.835,2.164,6.486,0,0,13.446
"TBX10",-0.665,1.979,-6.459,0,0,13.281
"SECTM1",0.602,4.399,6.443,0,0,13.186
"SLC15A1",-0.667,1.615,-6.421,0,0,13.046
"COL3A1",0.699,9.147,6.411,0,0,12.99
"TMEM238L",-0.658,4.421,-6.361,0,0,12.681
"AKR1C3",-0.654,5.063,-6.337,0,0,12.54
"GGT1",-0.632,3.558,-6.314,0,0,12.402
"ASPN",0.772,4.272,6.311,0,0,12.38
"ADGRG7",-0.728,2.154,-6.304,0,0,12.34
"COL1A2",0.676,8.321,6.298,0,0,12.307
"FABP6",-0.772,3.474,-6.291,0,0,12.264
"MMP2",0.651,6.919,6.271,0,0,12.144
"HMGCS2",-1.195,5.958,-6.264,0,0,12.101
"C15orf48",-0.712,7.023,-6.259,0,0,12.07
"LYPD8",-0.891,3.098,-6.231,0,0,11.903
"ELN",0.637,4.389,6.219,0,0,11.834
"FN1",0.805,6.912,6.192,0,0,11.674
"CPA6",-0.6,1.267,-6.181,0,0,11.612
"PHGR1",-1.063,7.598,-6.158,0,0,11.473
"VSIG4",0.61,3.538,6.15,0,0,11.426
"PTPRO",-0.685,3.067,-6.149,0,0,11.42
"ANTXR1",0.617,5.029,6.14,0,0,11.368
"CLRN3",-0.593,6.157,-6.124,0,0,11.274
"CHP2",-0.909,3.278,-6.091,0,0,11.082
"STMN3",0.669,4.705,6.091,0,0,11.081
"CXCL3",-0.68,5.274,-6.07,0,0,10.963
"CEACAM5",-0.876,10.094,-6.031,0,0,10.738
"AKR1B10",-1.016,4.259,-6.024,0,0,10.697
"CYP4F2",-0.675,2.13,-6.018,0,0,10.658
"BARX1",0.599,1.87,5.997,0,0,10.539
"ANO1",0.585,4.192,5.982,0,0,10.456
"QPCT",-0.633,4.302,-5.98,0,0,10.442
